building_id,unit_id,floor,net_area_m2,occupancy,occupant_fictional,rent_inr
"BLD-0008","BLD-0008/F0/U2","0","120.29","Rented","Nisha Anand","20000"
"BLD-0008","BLD-0008/F1/U1","1","120.29","Rented","Meera Arora","17000"
"BLD-0008","BLD-0008/F1/U2","1","120.29","Rented","Ishaan Verma","27000"
"BLD-0008","BLD-0008/F2/U1","2","120.29","Rented","Tara Khanna","20000"
"BLD-0008","BLD-0008/F2/U2","2","120.29","Rented","Ishaan Verma","17000"
"BLD-0009","BLD-0009/F0/U1","0","132.04","Owner occupied","Arjun Sinha","0"
"BLD-0009","BLD-0009/F0/U2","0","132.04","Rented","Kavya Sethi","14000"
"BLD-0009","BLD-0009/F1/U1","1","132.04","Rented","Arjun Sinha","18000"
"BLD-0009","BLD-0009/F1/U2","1","132.04","Rented","Kavya Sethi","18000"
"BLD-0009","BLD-0009/F2/U1","2","132.04","Rented","Neel Kapoor","16000"
"BLD-0009","BLD-0009/F2/U2","2","132.04","Rented","Aarav Mehta","12000"
"BLD-0009","BLD-0009/F3/U1","3","132.04","Rented","Kavya Sethi","24000"
"BLD-0009","BLD-0009/F3/U2","3","132.04","Rented","Vihaan Joshi","20000"
"BLD-0009","BLD-0009/F4/U1","4","132.04","Rented","Rohan Batra","12000"
"BLD-0009","BLD-0009/F4/U2","4","132.04","Rented","Vihaan Joshi","17000"
"BLD-0010","BLD-0010/F0/U1","0","104.93","Owner occupied","Vihaan Joshi","0"
"BLD-0010","BLD-0010/F0/U2","0","104.93","Rented","Rohan Batra","15000"
"BLD-0010","BLD-0010/F1/U1","1","104.93","Rented","Nisha Anand","13000"
"BLD-0010","BLD-0010/F1/U2","1","104.93","Vacant","Unoccupied","0"
"BLD-0010","BLD-0010/F2/U1","2","104.93","Rented","Ananya Rao","12000"
"BLD-0010","BLD-0010/F2/U2","2","104.93","Rented","Neel Kapoor","17000"
"BLD-0010","BLD-0010/F3/U1","3","104.93","Rented","Diya Malhotra","14000"
"BLD-0010","BLD-0010/F3/U2","3","104.93","Rented","Vihaan Joshi","25000"
"BLD-0011","BLD-0011/F0/U1","0","102.6","Owner occupied","Ananya Rao","0"
"BLD-0011","BLD-0011/F0/U2","0","102.6","Rented","Vihaan Joshi","12000"
"BLD-0011","BLD-0011/F1/U1","1","102.6","Vacant","Unoccupied","0"
"BLD-0011","BLD-0011/F1/U2","1","102.6","Rented","Aarav Mehta","23000"
"BLD-0011","BLD-0011/F2/U1","2","102.6","Rented","Meera Arora","26000"
"BLD-0011","BLD-0011/F2/U2","2","102.6","Rented","Vihaan Joshi","17000"
"BLD-0011","BLD-0011/F3/U1","3","102.6","Rented","Tara Khanna","15000"
"BLD-0011","BLD-0011/F3/U2","3","102.6","Rented","Rohan Batra","12000"
"BLD-0012","BLD-0012/F0/U1","0","132.04","Owner occupied","Aarav Mehta","0"
"BLD-0012","BLD-0012/F0/U2","0","132.04","Rented","Neel Kapoor","16000"
"BLD-0012","BLD-0012/F1/U1","1","132.04","Rented","Tara Khanna","20000"
"BLD-0012","BLD-0012/F1/U2","1","132.04","Rented","Aarav Mehta","13000"
"BLD-0012","BLD-0012/F2/U1","2","132.04","Rented","Meera Arora","12000"
"BLD-0012","BLD-0012/F2/U2","2","132.04","Rented","Rohan Batra","15000"
"BLD-0013","BLD-0013/F0/U1","0","107.67","Owner occupied","Vihaan Joshi","0"
"BLD-0013","BLD-0013/F0/U2","0","107.67","Rented","Tara Khanna","27000"
"BLD-0013","BLD-0013/F1/U1","1","107.67","Rented","Kavya Sethi","21000"
"BLD-0013","BLD-0013/F1/U2","1","107.67","Rented","Ishaan Verma","19000"
"BLD-0013","BLD-0013/F2/U1","2","107.67","Rented","Vihaan Joshi","21000"
"BLD-0013","BLD-0013/F2/U2","2","107.67","Rented","Tara Khanna","18000"
"BLD-0013","BLD-0013/F3/U1","3","107.67","Rented","Meera Arora","20000"
"BLD-0013","BLD-0013/F3/U2","3","107.67","Rented","Aarav Mehta","18000"
"BLD-0014","BLD-0014/F0/U1","0","95.06","Owner occupied","Arjun Sinha","0"
"BLD-0014","BLD-0014/F0/U2","0","95.06","Rented","Vihaan Joshi","22000"
"BLD-0014","BLD-0014/F1/U1","1","95.06","Rented","Vihaan Joshi","19000"
"BLD-0014","BLD-0014/F1/U2","1","95.06","Rented","Arjun Sinha","21000"
"BLD-0014","BLD-0014/F2/U1","2","95.06","Rented","Arjun Sinha","28000"
"BLD-0014","BLD-0014/F2/U2","2","95.06","Rented","Ananya Rao","13000"
"BLD-0014","BLD-0014/F3/U1","3","95.06","Rented","Rohan Batra","25000"
"BLD-0014","BLD-0014/F3/U2","3","95.06","Vacant","Unoccupied","0"
"BLD-0015","BLD-0015/F0/U1","0","109.41","Owner occupied","Ishaan Verma","0"
"BLD-0015","BLD-0015/F0/U2","0","109.41","Rented","Aarav Mehta","21000"
"BLD-0015","BLD-0015/F1/U1","1","109.41","Rented","Kavya Sethi","15000"
"BLD-0015","BLD-0015/F1/U2","1","109.41","Rented","Nisha Anand","26000"
"BLD-0015","BLD-0015/F2/U1","2","109.41","Rented","Nisha Anand","23000"
"BLD-0015","BLD-0015/F2/U2","2","109.41","Rented","Rohan Batra","26000"
"BLD-0016","BLD-0016/F0/U1","0","116.22","Owner occupied","Aarav Mehta","0"
"BLD-0016","BLD-0016/F0/U2","0","116.22","Rented","Ananya Rao","28000"
"BLD-0016","BLD-0016/F1/U1","1","116.22","Rented","Diya Malhotra","20000"
"BLD-0016","BLD-0016/F1/U2","1","116.22","Rented","Neel Kapoor","26000"
"BLD-0016","BLD-0016/F2/U1","2","116.22","Rented","Ishaan Verma","27000"
"BLD-0016","BLD-0016/F2/U2","2","116.22","Rented","Tara Khanna","14000"
"BLD-0016","BLD-0016/F3/U1","3","116.22","Rented","Vihaan Joshi","28000"
"BLD-0016","BLD-0016/F3/U2","3","116.22","Rented","Tara Khanna","25000"
"BLD-0017","BLD-0017/F0/U1","0","101.37","Owner occupied","Ishaan Verma","0"
"BLD-0017","BLD-0017/F0/U2","0","101.37","Rented","Meera Arora","12000"
"BLD-0017","BLD-0017/F1/U1","1","101.37","Rented","Ananya Rao","26000"
"BLD-0017","BLD-0017/F1/U2","1","101.37","Vacant","Unoccupied","0"
"BLD-0017","BLD-0017/F2/U1","2","101.37","Rented","Ishaan Verma","27000"
"BLD-0017","BLD-0017/F2/U2","2","101.37","Rented","Ishaan Verma","18000"
"BLD-0018","BLD-0018/F0/U1","0","150.13","Owner occupied","Ananya Rao","0"
"BLD-0018","BLD-0018/F0/U2","0","150.13","Rented","Aarav Mehta","18000"
"BLD-0018","BLD-0018/F1/U1","1","150.13","Rented","Ishaan Verma","19000"
"BLD-0018","BLD-0018/F1/U2","1","150.13","Rented","Ishaan Verma","21000"
"BLD-0018","BLD-0018/F2/U1","2","150.13","Rented","Nisha Anand","12000"
"BLD-0018","BLD-0018/F2/U2","2","150.13","Vacant","Unoccupied","0"
"BLD-0018","BLD-0018/F3/U1","3","150.13","Rented","Tara Khanna","20000"
"BLD-0018","BLD-0018/F3/U2","3","150.13","Rented","Vihaan Joshi","19000"
"BLD-0019","BLD-0019/F0/U1","0","107.67","Owner occupied","Neel Kapoor","0"
"BLD-0019","BLD-0019/F0/U2","0","107.67","Rented","Kavya Sethi","25000"
"BLD-0019","BLD-0019/F1/U1","1","107.67","Rented","Tara Khanna","25000"
"BLD-0019","BLD-0019/F1/U2","1","107.67","Rented","Diya Malhotra","28000"
"BLD-0019","BLD-0019/F2/U1","2","107.67","Rented","Vihaan Joshi","27000"
"BLD-0019","BLD-0019/F2/U2","2","107.67","Vacant","Unoccupied","0"
"BLD-0019","BLD-0019/F3/U1","3","107.67","Rented","Kavya Sethi","23000"
"BLD-0019","BLD-0019/F3/U2","3","107.67","Rented","Nisha Anand","21000"
"BLD-0019","BLD-0019/F4/U1","4","107.67","Vacant","Unoccupied","0"
"BLD-0019","BLD-0019/F4/U2","4","107.67","Rented","Nisha Anand","12000"
"BLD-0020","BLD-0020/F0/U1","0","158.44","Owner occupied","Aarav Mehta","0"
"BLD-0020","BLD-0020/F0/U2","0","158.44","Rented","Rohan Batra","20000"
"BLD-0020","BLD-0020/F1/U1","1","158.44","Vacant","Unoccupied","0"
"BLD-0020","BLD-0020/F1/U2","1","158.44","Rented","Arjun Sinha","27000"
"BLD-0020","BLD-0020/F2/U1","2","158.44","Rented","Tara Khanna","20000"
"BLD-0020","BLD-0020/F2/U2","2","158.44","Rented","Arjun Sinha","15000"
"BLD-0021","BLD-0021/F0/U1","0","95.06","Owner occupied","Tara Khanna","0"
"BLD-0021","BLD-0021/F0/U2","0","95.06","Rented","Vihaan Joshi","16000"
"BLD-0021","BLD-0021/F1/U1","1","95.06","Rented","Meera Arora","21000"
"BLD-0021","BLD-0021/F1/U2","1","95.06","Rented","Aarav Mehta","23000"
"BLD-0021","BLD-0021/F2/U1","2","95.06","Rented","Aarav Mehta","16000"
"BLD-0021","BLD-0021/F2/U2","2","95.06","Rented","Neel Kapoor","20000"
"BLD-0022","BLD-0022/F0/U1","0","109.41","Owner occupied","Neel Kapoor","0"
"BLD-0022","BLD-0022/F0/U2","0","109.41","Rented","Meera Arora","26000"
"BLD-0022","BLD-0022/F1/U1","1","109.41","Vacant","Unoccupied","0"
"BLD-0022","BLD-0022/F1/U2","1","109.41","Rented","Meera Arora","27000"
"BLD-0022","BLD-0022/F2/U1","2","109.41","Vacant","Unoccupied","0"
"BLD-0022","BLD-0022/F2/U2","2","109.41","Rented","Ananya Rao","16000"
"BLD-0023","BLD-0023/F0/U1","0","125.48","Owner occupied","Ishaan Verma","0"
"BLD-0023","BLD-0023/F0/U2","0","125.48","Rented","Vihaan Joshi","15000"
"BLD-0023","BLD-0023/F1/U1","1","125.48","Rented","Neel Kapoor","20000"
"BLD-0023","BLD-0023/F1/U2","1","125.48","Rented","Kavya Sethi","21000"
"BLD-0023","BLD-0023/F2/U1","2","125.48","Rented","Meera Arora","27000"
"BLD-0023","BLD-0023/F2/U2","2","125.48","Rented","Aarav Mehta","25000"
"BLD-0023","BLD-0023/F3/U1","3","125.48","Rented","Tara Khanna","15000"
"BLD-0023","BLD-0023/F3/U2","3","125.48","Rented","Arjun Sinha","17000"
"BLD-0023","BLD-0023/F4/U1","4","125.48","Rented","Arjun Sinha","26000"
"BLD-0023","BLD-0023/F4/U2","4","125.48","Rented","Rohan Batra","27000"
"BLD-0024","BLD-0024/F0/U1","0","93.33","Owner occupied","Nisha Anand","0"
"BLD-0024","BLD-0024/F0/U2","0","93.33","Rented","Ananya Rao","28000"
"BLD-0024","BLD-0024/F1/U1","1","93.33","Rented","Vihaan Joshi","24000"
"BLD-0024","BLD-0024/F1/U2","1","93.33","Rented","Ananya Rao","19000"
"BLD-0024","BLD-0024/F2/U1","2","93.33","Rented","Aarav Mehta","16000"
"BLD-0024","BLD-0024/F2/U2","2","93.33","Rented","Kavya Sethi","25000"
"BLD-0024","BLD-0024/F3/U1","3","93.33","Rented","Neel Kapoor","24000"
"BLD-0024","BLD-0024/F3/U2","3","93.33","Rented","Kavya Sethi","12000"
"BLD-0413","BLD-0413/F0/U1","0","116.22","Owner occupied","Aarav Mehta","0"
"BLD-0413","BLD-0413/F0/U2","0","116.22","Rented","Meera Arora","14000"
"BLD-0413","BLD-0413/F1/U1","1","116.22","Vacant","Unoccupied","0"
"BLD-0413","BLD-0413/F1/U2","1","116.22","Vacant","Unoccupied","0"
"BLD-0413","BLD-0413/F2/U1","2","116.22","Vacant","Unoccupied","0"
"BLD-0413","BLD-0413/F2/U2","2","116.22","Rented","Vihaan Joshi","15000"
"BLD-0413","BLD-0413/F3/U1","3","116.22","Rented","Meera Arora","22000"
"BLD-0413","BLD-0413/F3/U2","3","116.22","Rented","Vihaan Joshi","15000"
"BLD-0413","BLD-0413/F4/U1","4","116.22","Rented","Rohan Batra","17000"
"BLD-0413","BLD-0413/F4/U2","4","116.22","Rented","Meera Arora","21000"
"BLD-0026","BLD-0026/F0/U1","0","95.81","Owner occupied","Aarav Mehta","0"
"BLD-0026","BLD-0026/F0/U2","0","95.81","Vacant","Unoccupied","0"
"BLD-0026","BLD-0026/F1/U1","1","95.81","Rented","Ananya Rao","26000"
"BLD-0026","BLD-0026/F1/U2","1","95.81","Rented","Kavya Sethi","25000"
"BLD-0026","BLD-0026/F2/U1","2","95.81","Vacant","Unoccupied","0"
"BLD-0026","BLD-0026/F2/U2","2","95.81","Rented","Vihaan Joshi","18000"
"BLD-0027","BLD-0027/F0/U1","0","125.23","Owner occupied","Ishaan Verma","0"
"BLD-0027","BLD-0027/F0/U2","0","125.23","Rented","Meera Arora","14000"
"BLD-0027","BLD-0027/F1/U1","1","125.23","Rented","Meera Arora","22000"
"BLD-0027","BLD-0027/F1/U2","1","125.23","Rented","Arjun Sinha","26000"
"BLD-0027","BLD-0027/F2/U1","2","125.23","Rented","Arjun Sinha","21000"
"BLD-0027","BLD-0027/F2/U2","2","125.23","Rented","Neel Kapoor","20000"
"BLD-0028","BLD-0028/F0/U1","0","109.41","Owner occupied","Neel Kapoor","0"
"BLD-0028","BLD-0028/F0/U2","0","109.41","Rented","Aarav Mehta","26000"
"BLD-0028","BLD-0028/F1/U1","1","109.41","Rented","Rohan Batra","20000"
"BLD-0028","BLD-0028/F1/U2","1","109.41","Rented","Ishaan Verma","16000"
"BLD-0028","BLD-0028/F2/U1","2","109.41","Rented","Kavya Sethi","21000"
"BLD-0028","BLD-0028/F2/U2","2","109.41","Rented","Vihaan Joshi","20000"
"BLD-0029","BLD-0029/F0/U1","0","124.76","Owner occupied","Aarav Mehta","0"
"BLD-0029","BLD-0029/F0/U2","0","124.76","Rented","Kavya Sethi","17000"
"BLD-0029","BLD-0029/F1/U1","1","124.76","Rented","Neel Kapoor","14000"
"BLD-0029","BLD-0029/F1/U2","1","124.76","Rented","Tara Khanna","15000"
"BLD-0029","BLD-0029/F2/U1","2","124.76","Rented","Meera Arora","23000"
"BLD-0029","BLD-0029/F2/U2","2","124.76","Rented","Kavya Sethi","17000"
"BLD-0030","BLD-0030/F0/U1","0","148.9","Owner occupied","Tara Khanna","0"
"BLD-0030","BLD-0030/F0/U2","0","148.9","Rented","Neel Kapoor","14000"
"BLD-0030","BLD-0030/F1/U1","1","148.9","Rented","Aarav Mehta","13000"
"BLD-0030","BLD-0030/F1/U2","1","148.9","Rented","Arjun Sinha","26000"
"BLD-0030","BLD-0030/F2/U1","2","148.9","Rented","Tara Khanna","21000"
"BLD-0030","BLD-0030/F2/U2","2","148.9","Rented","Vihaan Joshi","23000"
"BLD-0030","BLD-0030/F3/U1","3","148.9","Rented","Tara Khanna","22000"
"BLD-0030","BLD-0030/F3/U2","3","148.9","Vacant","Unoccupied","0"
"BLD-0030","BLD-0030/F4/U1","4","148.9","Rented","Meera Arora","21000"
"BLD-0030","BLD-0030/F4/U2","4","148.9","Rented","Aarav Mehta","21000"
"BLD-0031","BLD-0031/F0/U1","0","117.45","Owner occupied","Rohan Batra","0"
"BLD-0031","BLD-0031/F0/U2","0","117.45","Rented","Vihaan Joshi","22000"
"BLD-0031","BLD-0031/F1/U1","1","117.45","Rented","Meera Arora","21000"
"BLD-0031","BLD-0031/F1/U2","1","117.45","Rented","Nisha Anand","23000"
"BLD-0031","BLD-0031/F2/U1","2","117.45","Rented","Ishaan Verma","14000"
"BLD-0031","BLD-0031/F2/U2","2","117.45","Rented","Vihaan Joshi","27000"
"BLD-0031","BLD-0031/F3/U1","3","117.45","Vacant","Unoccupied","0"
"BLD-0031","BLD-0031/F3/U2","3","117.45","Rented","Neel Kapoor","26000"
"BLD-0032","BLD-0032/F0/U1","0","109.87","Owner occupied","Meera Arora","0"
"BLD-0032","BLD-0032/F0/U2","0","109.87","Rented","Kavya Sethi","18000"
"BLD-0032","BLD-0032/F1/U1","1","109.87","Rented","Nisha Anand","28000"
"BLD-0032","BLD-0032/F1/U2","1","109.87","Rented","Meera Arora","19000"
"BLD-0032","BLD-0032/F2/U1","2","109.87","Rented","Diya Malhotra","12000"
"BLD-0032","BLD-0032/F2/U2","2","109.87","Rented","Ishaan Verma","21000"
"BLD-0033","BLD-0033/F0/U1","0","124.76","Owner occupied","Arjun Sinha","0"
"BLD-0033","BLD-0033/F0/U2","0","124.76","Vacant","Unoccupied","0"
"BLD-0033","BLD-0033/F1/U1","1","124.76","Rented","Tara Khanna","21000"
"BLD-0033","BLD-0033/F1/U2","1","124.76","Rented","Rohan Batra","12000"
"BLD-0033","BLD-0033/F2/U1","2","124.76","Rented","Vihaan Joshi","12000"
"BLD-0033","BLD-0033/F2/U2","2","124.76","Vacant","Unoccupied","0"
"BLD-0033","BLD-0033/F3/U1","3","124.76","Rented","Rohan Batra","19000"
"BLD-0033","BLD-0033/F3/U2","3","124.76","Rented","Diya Malhotra","19000"
"BLD-0033","BLD-0033/F4/U1","4","124.76","Rented","Aarav Mehta","19000"
"BLD-0033","BLD-0033/F4/U2","4","124.76","Rented","Rohan Batra","12000"
"BLD-0034","BLD-0034/F0/U1","0","110.15","Owner occupied","Ishaan Verma","0"
"BLD-0034","BLD-0034/F0/U2","0","110.15","Rented","Tara Khanna","24000"
"BLD-0034","BLD-0034/F1/U1","1","110.15","Rented","Vihaan Joshi","21000"
"BLD-0034","BLD-0034/F1/U2","1","110.15","Rented","Kavya Sethi","24000"
"BLD-0034","BLD-0034/F2/U1","2","110.15","Rented","Aarav Mehta","26000"
"BLD-0034","BLD-0034/F2/U2","2","110.15","Rented","Diya Malhotra","15000"
"BLD-0035","BLD-0035/F0/U1","0","102.6","Owner occupied","Tara Khanna","0"
"BLD-0035","BLD-0035/F0/U2","0","102.6","Rented","Arjun Sinha","26000"
"BLD-0035","BLD-0035/F1/U1","1","102.6","Rented","Kavya Sethi","12000"
"BLD-0035","BLD-0035/F1/U2","1","102.6","Vacant","Unoccupied","0"
"BLD-0035","BLD-0035/F2/U1","2","102.6","Rented","Ananya Rao","22000"
"BLD-0035","BLD-0035/F2/U2","2","102.6","Rented","Ananya Rao","27000"
"BLD-0035","BLD-0035/F3/U1","3","102.6","Rented","Vihaan Joshi","15000"
"BLD-0035","BLD-0035/F3/U2","3","102.6","Rented","Diya Malhotra","15000"
"BLD-0035","BLD-0035/F4/U1","4","102.6","Rented","Ishaan Verma","25000"
"BLD-0035","BLD-0035/F4/U2","4","102.6","Rented","Vihaan Joshi","20000"
"BLD-0036","BLD-0036/F0/U1","0","117.67","Owner occupied","Neel Kapoor","0"
"BLD-0036","BLD-0036/F0/U2","0","117.67","Rented","Aarav Mehta","22000"
"BLD-0036","BLD-0036/F1/U1","1","117.67","Rented","Ananya Rao","18000"
"BLD-0036","BLD-0036/F1/U2","1","117.67","Vacant","Unoccupied","0"
"BLD-0036","BLD-0036/F2/U1","2","117.67","Vacant","Unoccupied","0"
"BLD-0036","BLD-0036/F2/U2","2","117.67","Rented","Diya Malhotra","28000"
"BLD-0037","BLD-0037/F0/U1","0","95.81","Owner occupied","Ananya Rao","0"
"BLD-0037","BLD-0037/F0/U2","0","95.81","Rented","Nisha Anand","24000"
"BLD-0037","BLD-0037/F1/U1","1","95.81","Rented","Ananya Rao","16000"
"BLD-0037","BLD-0037/F1/U2","1","95.81","Rented","Meera Arora","24000"
"BLD-0037","BLD-0037/F2/U1","2","95.81","Rented","Ananya Rao","28000"
"BLD-0037","BLD-0037/F2/U2","2","95.81","Rented","Ishaan Verma","23000"
"BLD-0037","BLD-0037/F3/U1","3","95.81","Vacant","Unoccupied","0"
"BLD-0037","BLD-0037/F3/U2","3","95.81","Rented","Nisha Anand","24000"
"BLD-0038","BLD-0038/F0/U1","0","109.87","Owner occupied","Kavya Sethi","0"
"BLD-0038","BLD-0038/F0/U2","0","109.87","Rented","Nisha Anand","12000"
"BLD-0038","BLD-0038/F1/U1","1","109.87","Rented","Tara Khanna","25000"
"BLD-0038","BLD-0038/F1/U2","1","109.87","Rented","Nisha Anand","28000"
"BLD-0038","BLD-0038/F2/U1","2","109.87","Vacant","Unoccupied","0"
"BLD-0038","BLD-0038/F2/U2","2","109.87","Rented","Diya Malhotra","23000"
"BLD-0038","BLD-0038/F3/U1","3","109.87","Rented","Ananya Rao","24000"
"BLD-0038","BLD-0038/F3/U2","3","109.87","Rented","Ishaan Verma","26000"
"BLD-0038","BLD-0038/F4/U1","4","109.87","Rented","Ishaan Verma","17000"
"BLD-0038","BLD-0038/F4/U2","4","109.87","Rented","Arjun Sinha","24000"
"BLD-0039","BLD-0039/F0/U1","0","133.29","Owner occupied","Rohan Batra","0"
"BLD-0039","BLD-0039/F0/U2","0","133.29","Rented","Aarav Mehta","12000"
"BLD-0039","BLD-0039/F1/U1","1","133.29","Rented","Neel Kapoor","18000"
"BLD-0039","BLD-0039/F1/U2","1","133.29","Vacant","Unoccupied","0"
"BLD-0039","BLD-0039/F2/U1","2","133.29","Vacant","Unoccupied","0"
"BLD-0039","BLD-0039/F2/U2","2","133.29","Rented","Arjun Sinha","20000"
"BLD-0039","BLD-0039/F3/U1","3","133.29","Rented","Ishaan Verma","28000"
"BLD-0039","BLD-0039/F3/U2","3","133.29","Rented","Kavya Sethi","21000"
"BLD-0040","BLD-0040/F0/U1","0","124.76","Owner occupied","Ishaan Verma","0"
"BLD-0040","BLD-0040/F0/U2","0","124.76","Rented","Meera Arora","12000"
"BLD-0040","BLD-0040/F1/U1","1","124.76","Rented","Ishaan Verma","24000"
"BLD-0040","BLD-0040/F1/U2","1","124.76","Rented","Arjun Sinha","27000"
"BLD-0040","BLD-0040/F2/U1","2","124.76","Rented","Diya Malhotra","25000"
"BLD-0040","BLD-0040/F2/U2","2","124.76","Vacant","Unoccupied","0"
"BLD-0040","BLD-0040/F3/U1","3","124.76","Rented","Vihaan Joshi","22000"
"BLD-0040","BLD-0040/F3/U2","3","124.76","Rented","Ananya Rao","14000"
"BLD-0041","BLD-0041/F0/U1","0","133.52","Owner occupied","Tara Khanna","0"
"BLD-0041","BLD-0041/F0/U2","0","133.52","Rented","Ananya Rao","12000"
"BLD-0041","BLD-0041/F1/U1","1","133.52","Rented","Neel Kapoor","28000"
"BLD-0041","BLD-0041/F1/U2","1","133.52","Rented","Diya Malhotra","14000"
"BLD-0041","BLD-0041/F2/U1","2","133.52","Vacant","Unoccupied","0"
"BLD-0041","BLD-0041/F2/U2","2","133.52","Rented","Diya Malhotra","27000"
"BLD-0042","BLD-0042/F0/U1","0","133.29","Owner occupied","Neel Kapoor","0"
"BLD-0042","BLD-0042/F0/U2","0","133.29","Rented","Aarav Mehta","14000"
"BLD-0042","BLD-0042/F1/U1","1","133.29","Rented","Kavya Sethi","26000"
"BLD-0042","BLD-0042/F1/U2","1","133.29","Rented","Nisha Anand","16000"
"BLD-0042","BLD-0042/F2/U1","2","133.29","Rented","Kavya Sethi","14000"
"BLD-0042","BLD-0042/F2/U2","2","133.29","Rented","Ishaan Verma","25000"
"BLD-0043","BLD-0043/F0/U1","0","129.82","Owner occupied","Diya Malhotra","0"
"BLD-0043","BLD-0043/F0/U2","0","129.82","Rented","Aarav Mehta","21000"
"BLD-0043","BLD-0043/F1/U1","1","129.82","Rented","Neel Kapoor","25000"
"BLD-0043","BLD-0043/F1/U2","1","129.82","Rented","Tara Khanna","15000"
