party_id,name,classification
LV-PARTY-B12-SHOWCASE-F1,Fictional Leaseholder B12-SHOWCASE-F1,synthetic
LV-PARTY-B12-SHOWCASE-F2,Fictional Leaseholder B12-SHOWCASE-F2,synthetic
LV-PARTY-B12-SHOWCASE-F3,Fictional Leaseholder B12-SHOWCASE-F3,synthetic
LV-PARTY-B12-SHOWCASE-F4,Fictional Leaseholder B12-SHOWCASE-F4,synthetic
LV-PARTY-B13-SHOWCASE-F0,Fictional Leaseholder B13-SHOWCASE-F0,synthetic
LV-PARTY-B13-SHOWCASE-F1,Fictional Leaseholder B13-SHOWCASE-F1,synthetic
LV-PARTY-B13-SHOWCASE-F2,Fictional Leaseholder B13-SHOWCASE-F2,synthetic
LV-PARTY-B14-SHOWCASE-F0,Fictional Leaseholder B14-SHOWCASE-F0,synthetic
LV-PARTY-B14-SHOWCASE-F1,Fictional Leaseholder B14-SHOWCASE-F1,synthetic
LV-PARTY-B14-SHOWCASE-F2,Fictional Leaseholder B14-SHOWCASE-F2,synthetic
LV-PARTY-B14-SHOWCASE-F3,Fictional Leaseholder B14-SHOWCASE-F3,synthetic
LV-PARTY-B15-SHOWCASE-F0,Fictional Leaseholder B15-SHOWCASE-F0,synthetic
LV-PARTY-B15-SHOWCASE-F1,Fictional Leaseholder B15-SHOWCASE-F1,synthetic
LV-PARTY-B15-SHOWCASE-F2,Fictional Leaseholder B15-SHOWCASE-F2,synthetic
LV-PARTY-B15-SHOWCASE-F3,Fictional Leaseholder B15-SHOWCASE-F3,synthetic
LV-PARTY-B15-SHOWCASE-F4,Fictional Leaseholder B15-SHOWCASE-F4,synthetic
LV-PARTY-B16-SHOWCASE-F0,Fictional Leaseholder B16-SHOWCASE-F0,synthetic
LV-PARTY-B16-SHOWCASE-F1,Fictional Leaseholder B16-SHOWCASE-F1,synthetic
LV-PARTY-B16-SHOWCASE-F2,Fictional Leaseholder B16-SHOWCASE-F2,synthetic
LV-PARTY-B17-SHOWCASE-F0,Fictional Leaseholder B17-SHOWCASE-F0,synthetic
LV-PARTY-B17-SHOWCASE-F1,Fictional Leaseholder B17-SHOWCASE-F1,synthetic
LV-PARTY-B17-SHOWCASE-F2,Fictional Leaseholder B17-SHOWCASE-F2,synthetic
LV-PARTY-B17-SHOWCASE-F3,Fictional Leaseholder B17-SHOWCASE-F3,synthetic
LV-PARTY-B18-SHOWCASE-F0,Fictional Leaseholder B18-SHOWCASE-F0,synthetic
LV-PARTY-B18-SHOWCASE-F1,Fictional Leaseholder B18-SHOWCASE-F1,synthetic
LV-PARTY-B18-SHOWCASE-F2,Fictional Leaseholder B18-SHOWCASE-F2,synthetic
LV-PARTY-B18-SHOWCASE-F3,Fictional Leaseholder B18-SHOWCASE-F3,synthetic
LV-PARTY-B18-SHOWCASE-F4,Fictional Leaseholder B18-SHOWCASE-F4,synthetic
LV-PARTY-B19-SHOWCASE-F0,Fictional Leaseholder B19-SHOWCASE-F0,synthetic
LV-PARTY-B19-SHOWCASE-F1,Fictional Leaseholder B19-SHOWCASE-F1,synthetic
LV-PARTY-B19-SHOWCASE-F2,Fictional Leaseholder B19-SHOWCASE-F2,synthetic
LV-PARTY-B20-SHOWCASE-F0,Fictional Leaseholder B20-SHOWCASE-F0,synthetic
LV-PARTY-B20-SHOWCASE-F1,Fictional Leaseholder B20-SHOWCASE-F1,synthetic
LV-PARTY-B20-SHOWCASE-F2,Fictional Leaseholder B20-SHOWCASE-F2,synthetic
LV-PARTY-B20-SHOWCASE-F3,Fictional Leaseholder B20-SHOWCASE-F3,synthetic
LV-PARTY-B21-SHOWCASE-F0,Fictional Leaseholder B21-SHOWCASE-F0,synthetic
LV-PARTY-B21-SHOWCASE-F1,Fictional Leaseholder B21-SHOWCASE-F1,synthetic
LV-PARTY-B21-SHOWCASE-F2,Fictional Leaseholder B21-SHOWCASE-F2,synthetic
LV-PARTY-B21-SHOWCASE-F3,Fictional Leaseholder B21-SHOWCASE-F3,synthetic
LV-PARTY-B21-SHOWCASE-F4,Fictional Leaseholder B21-SHOWCASE-F4,synthetic
LV-PARTY-B22-SHOWCASE-F0,Fictional Leaseholder B22-SHOWCASE-F0,synthetic
LV-PARTY-B22-SHOWCASE-F1,Fictional Leaseholder B22-SHOWCASE-F1,synthetic
LV-PARTY-B22-SHOWCASE-F2,Fictional Leaseholder B22-SHOWCASE-F2,synthetic
LV-PARTY-B23-SHOWCASE-F0,Fictional Leaseholder B23-SHOWCASE-F0,synthetic
LV-PARTY-B23-SHOWCASE-F1,Fictional Leaseholder B23-SHOWCASE-F1,synthetic
LV-PARTY-B23-SHOWCASE-F2,Fictional Leaseholder B23-SHOWCASE-F2,synthetic
LV-PARTY-B24-SHOWCASE-F0,Fictional Leaseholder B24-SHOWCASE-F0,synthetic
LV-PARTY-B24-SHOWCASE-F1,Fictional Leaseholder B24-SHOWCASE-F1,synthetic
LV-PARTY-B24-SHOWCASE-F2,Fictional Leaseholder B24-SHOWCASE-F2,synthetic
LV-PARTY-B24-SHOWCASE-F3,Fictional Leaseholder B24-SHOWCASE-F3,synthetic
LV-PARTY-B25-SHOWCASE-F0,Fictional Leaseholder B25-SHOWCASE-F0,synthetic
LV-PARTY-B25-SHOWCASE-F1,Fictional Leaseholder B25-SHOWCASE-F1,synthetic
LV-PARTY-B25-SHOWCASE-F2,Fictional Leaseholder B25-SHOWCASE-F2,synthetic
LV-PARTY-B26-SHOWCASE-F0,Fictional Leaseholder B26-SHOWCASE-F0,synthetic
LV-PARTY-B26-SHOWCASE-F1,Fictional Leaseholder B26-SHOWCASE-F1,synthetic
LV-PARTY-B26-SHOWCASE-F2,Fictional Leaseholder B26-SHOWCASE-F2,synthetic
LV-PARTY-B26-SHOWCASE-F3,Fictional Leaseholder B26-SHOWCASE-F3,synthetic
LV-PARTY-B27-SHOWCASE-F0,Fictional Leaseholder B27-SHOWCASE-F0,synthetic
LV-PARTY-B27-SHOWCASE-F1,Fictional Leaseholder B27-SHOWCASE-F1,synthetic
LV-PARTY-B27-SHOWCASE-F2,Fictional Leaseholder B27-SHOWCASE-F2,synthetic
LV-PARTY-B28-SHOWCASE-F0,Fictional Leaseholder B28-SHOWCASE-F0,synthetic
LV-PARTY-B28-SHOWCASE-F1,Fictional Leaseholder B28-SHOWCASE-F1,synthetic
LV-PARTY-B28-SHOWCASE-F2,Fictional Leaseholder B28-SHOWCASE-F2,synthetic
LV-PARTY-B28-SHOWCASE-F3,Fictional Leaseholder B28-SHOWCASE-F3,synthetic
LV-PARTY-B29-SHOWCASE-F0,Fictional Leaseholder B29-SHOWCASE-F0,synthetic
LV-PARTY-B29-SHOWCASE-F1,Fictional Leaseholder B29-SHOWCASE-F1,synthetic
LV-PARTY-B29-SHOWCASE-F2,Fictional Leaseholder B29-SHOWCASE-F2,synthetic
LV-PARTY-B30-SHOWCASE-F0,Fictional Leaseholder B30-SHOWCASE-F0,synthetic
LV-PARTY-B30-SHOWCASE-F1,Fictional Leaseholder B30-SHOWCASE-F1,synthetic
LV-PARTY-B30-SHOWCASE-F2,Fictional Leaseholder B30-SHOWCASE-F2,synthetic
LV-PARTY-B30-SHOWCASE-F3,Fictional Leaseholder B30-SHOWCASE-F3,synthetic
LV-PARTY-B31-SHOWCASE-F0,Fictional Leaseholder B31-SHOWCASE-F0,synthetic
LV-PARTY-B31-SHOWCASE-F1,Fictional Leaseholder B31-SHOWCASE-F1,synthetic
LV-PARTY-B31-SHOWCASE-F2,Fictional Leaseholder B31-SHOWCASE-F2,synthetic
LV-PARTY-B32-SHOWCASE-F0,Fictional Leaseholder B32-SHOWCASE-F0,synthetic
LV-PARTY-B32-SHOWCASE-F1,Fictional Leaseholder B32-SHOWCASE-F1,synthetic
LV-PARTY-B32-SHOWCASE-F2,Fictional Leaseholder B32-SHOWCASE-F2,synthetic
LV-PARTY-B32-SHOWCASE-F3,Fictional Leaseholder B32-SHOWCASE-F3,synthetic
LV-PARTY-B33-SHOWCASE-F0,Fictional Leaseholder B33-SHOWCASE-F0,synthetic
LV-PARTY-B33-SHOWCASE-F1,Fictional Leaseholder B33-SHOWCASE-F1,synthetic
LV-PARTY-B33-SHOWCASE-F2,Fictional Leaseholder B33-SHOWCASE-F2,synthetic
LV-PARTY-B34-SHOWCASE-F0,Fictional Leaseholder B34-SHOWCASE-F0,synthetic
LV-PARTY-B34-SHOWCASE-F1,Fictional Leaseholder B34-SHOWCASE-F1,synthetic
LV-PARTY-B34-SHOWCASE-F2,Fictional Leaseholder B34-SHOWCASE-F2,synthetic
LV-PARTY-B34-SHOWCASE-F3,Fictional Leaseholder B34-SHOWCASE-F3,synthetic
LV-PARTY-B35-SHOWCASE-F0,Fictional Leaseholder B35-SHOWCASE-F0,synthetic
LV-PARTY-B35-SHOWCASE-F1,Fictional Leaseholder B35-SHOWCASE-F1,synthetic
LV-PARTY-B35-SHOWCASE-F2,Fictional Leaseholder B35-SHOWCASE-F2,synthetic
LV-PARTY-B36-SHOWCASE-F0,Fictional Leaseholder B36-SHOWCASE-F0,synthetic
LV-PARTY-B36-SHOWCASE-F1,Fictional Leaseholder B36-SHOWCASE-F1,synthetic
LV-PARTY-B36-SHOWCASE-F2,Fictional Leaseholder B36-SHOWCASE-F2,synthetic
LV-PARTY-B36-SHOWCASE-F3,Fictional Leaseholder B36-SHOWCASE-F3,synthetic
LV-PARTY-B37-SHOWCASE-F0,Fictional Leaseholder B37-SHOWCASE-F0,synthetic
LV-PARTY-B37-SHOWCASE-F1,Fictional Leaseholder B37-SHOWCASE-F1,synthetic
LV-PARTY-B37-SHOWCASE-F2,Fictional Leaseholder B37-SHOWCASE-F2,synthetic
LV-PARTY-B38-SHOWCASE-F0,Fictional Leaseholder B38-SHOWCASE-F0,synthetic
LV-PARTY-B38-SHOWCASE-F1,Fictional Leaseholder B38-SHOWCASE-F1,synthetic
LV-PARTY-B38-SHOWCASE-F2,Fictional Leaseholder B38-SHOWCASE-F2,synthetic
LV-PARTY-B38-SHOWCASE-F3,Fictional Leaseholder B38-SHOWCASE-F3,synthetic
LV-PARTY-B39-SHOWCASE-F0,Fictional Leaseholder B39-SHOWCASE-F0,synthetic
LV-PARTY-B39-SHOWCASE-F1,Fictional Leaseholder B39-SHOWCASE-F1,synthetic
LV-PARTY-B39-SHOWCASE-F2,Fictional Leaseholder B39-SHOWCASE-F2,synthetic
LV-PARTY-B40-SHOWCASE-F0,Fictional Leaseholder B40-SHOWCASE-F0,synthetic
LV-PARTY-B40-SHOWCASE-F1,Fictional Leaseholder B40-SHOWCASE-F1,synthetic
LV-PARTY-B40-SHOWCASE-F2,Fictional Leaseholder B40-SHOWCASE-F2,synthetic
LV-PARTY-B40-SHOWCASE-F3,Fictional Leaseholder B40-SHOWCASE-F3,synthetic
LV-PARTY-B41-SHOWCASE-F0,Fictional Leaseholder B41-SHOWCASE-F0,synthetic
LV-PARTY-B41-SHOWCASE-F1,Fictional Leaseholder B41-SHOWCASE-F1,synthetic
LV-PARTY-B41-SHOWCASE-F2,Fictional Leaseholder B41-SHOWCASE-F2,synthetic
LV-PARTY-B42-SHOWCASE-F0,Fictional Leaseholder B42-SHOWCASE-F0,synthetic
LV-PARTY-B42-SHOWCASE-F1,Fictional Leaseholder B42-SHOWCASE-F1,synthetic
LV-PARTY-B42-SHOWCASE-F2,Fictional Leaseholder B42-SHOWCASE-F2,synthetic
LV-PARTY-B42-SHOWCASE-F3,Fictional Leaseholder B42-SHOWCASE-F3,synthetic
LV-PARTY-B43-SHOWCASE-F0,Fictional Leaseholder B43-SHOWCASE-F0,synthetic
LV-PARTY-B43-SHOWCASE-F1,Fictional Leaseholder B43-SHOWCASE-F1,synthetic
LV-PARTY-B43-SHOWCASE-F2,Fictional Leaseholder B43-SHOWCASE-F2,synthetic
LV-PARTY-B44-SHOWCASE-F0,Fictional Leaseholder B44-SHOWCASE-F0,synthetic
LV-PARTY-B44-SHOWCASE-F1,Fictional Leaseholder B44-SHOWCASE-F1,synthetic
LV-PARTY-B44-SHOWCASE-F2,Fictional Leaseholder B44-SHOWCASE-F2,synthetic
LV-PARTY-B44-SHOWCASE-F3,Fictional Leaseholder B44-SHOWCASE-F3,synthetic
LV-PARTY-B45-SHOWCASE-F0,Fictional Leaseholder B45-SHOWCASE-F0,synthetic
LV-PARTY-B45-SHOWCASE-F1,Fictional Leaseholder B45-SHOWCASE-F1,synthetic
LV-PARTY-B45-SHOWCASE-F2,Fictional Leaseholder B45-SHOWCASE-F2,synthetic
LV-PARTY-B46-SHOWCASE-F0,Fictional Leaseholder B46-SHOWCASE-F0,synthetic
LV-PARTY-B46-SHOWCASE-F1,Fictional Leaseholder B46-SHOWCASE-F1,synthetic
LV-PARTY-B46-SHOWCASE-F2,Fictional Leaseholder B46-SHOWCASE-F2,synthetic
LV-PARTY-B46-SHOWCASE-F3,Fictional Leaseholder B46-SHOWCASE-F3,synthetic
LV-PARTY-B47-SHOWCASE-F0,Fictional Leaseholder B47-SHOWCASE-F0,synthetic
LV-PARTY-B47-SHOWCASE-F1,Fictional Leaseholder B47-SHOWCASE-F1,synthetic
LV-PARTY-B47-SHOWCASE-F2,Fictional Leaseholder B47-SHOWCASE-F2,synthetic
LV-PARTY-B48-SHOWCASE-F0,Fictional Leaseholder B48-SHOWCASE-F0,synthetic
LV-PARTY-B48-SHOWCASE-F1,Fictional Leaseholder B48-SHOWCASE-F1,synthetic
LV-PARTY-B48-SHOWCASE-F2,Fictional Leaseholder B48-SHOWCASE-F2,synthetic
LV-PARTY-B49-SHOWCASE-F0,Fictional Leaseholder B49-SHOWCASE-F0,synthetic
LV-PARTY-B49-SHOWCASE-F1,Fictional Leaseholder B49-SHOWCASE-F1,synthetic
LV-PARTY-B49-SHOWCASE-F2,Fictional Leaseholder B49-SHOWCASE-F2,synthetic
LV-PARTY-B49-SHOWCASE-F3,Fictional Leaseholder B49-SHOWCASE-F3,synthetic
LV-PARTY-UTILITY,Fictional Water Operator,synthetic
